source,translated,context
Action-level gating,بوابات على مستوى الإجراء,
Per button/workflow,لكل زر/سير عمل,
DocType level,على مستوى نوع المستند,
Transaction level,على مستوى المعاملة,
Policy automation,أتمتة السياسات,
Conditional rules,قواعد شرطية,
Time-boxed access,وصول محدد زمنياً,
Built-in,مدمج,
Audit trail,مسار التدقيق,
Complete,مكتمل,
Activity Log only,سجل النشاط فقط,
Compliance snapshots,لقطات الامتثال,
Visual graph explorer,مستكشف بياني تفاعلي,
Interactive,تفاعلي,
Rate limiting,تحديد المعدل,
Frappe native,أصلي في Frappe,
Cost,التكلفة,
Included,مُتضمّن,
Free,مجاني,
Enterprise license,ترخيص مؤسسي,
Industry Use Cases,حالات الاستخدام حسب القطاع,
Construction & Contracting,المقاولات والتشييد,
Healthcare,الرعاية الصحية,
Financial Services,الخدمات المالية,
Education,التعليم,
Retail & E-Commerce,البيع بالتجزئة والتجارة الإلكترونية,
Manufacturing,التصنيع,
Integration Map,خريطة التكامل,
Deep Ecosystem Integration,تكامل عميق مع المنظومة,
Third-Party Apps,تطبيقات الطرف الثالث,
Security & Compliance Reports,تقارير الأمن والامتثال,
Enterprise Audit & Compliance Infrastructure,بنية تحتية مؤسسية للتدقيق والامتثال,
Capability Coverage,تغطية الصلاحيات,
User Access Matrix,مصفوفة وصول المستخدمين,
CAPS Audit Report,تقرير تدقيق CAPS,
Capability Snapshots,لقطات الصلاحيات,
Security Enforcement,إنفاذ الأمان,
CAPS Onboarding,تأهيل CAPS,
Skip to Dashboard,تخطي إلى لوحة القيادة,
Welcome to CAPS,مرحباً بك في CAPS,
System Architecture,بنية النظام,
What's Your Role?,ما هو دورك؟,
IT Manager: System Setup,مدير تقنية المعلومات: إعداد النظام,
IT Manager: Visual Graph Explorer,مدير تقنية المعلومات: المستكشف البياني,
InfoSec: Security Policies,أمن المعلومات: سياسات الأمان,
InfoSec: Audit & Compliance,أمن المعلومات: التدقيق والامتثال,
ERPNext Admin: Roles & Bundles,مدير ERPNext: الأدوار والحزم,
ERPNext Admin: Field & Action Control,مدير ERPNext: التحكم بالحقول والإجراءات,
Auditor: Review Process,المدقق: عملية المراجعة,
Auditor: Compliance Checks,المدقق: فحوصات الامتثال,
You're All Set!,أنت جاهز!,
Onboarding Complete!,اكتمل التأهيل!,
Graph Explorer,مستكشف الرسم البياني,
Full About Page,صفحة التعريف الكاملة,
Onboarding complete! Welcome to CAPS.,اكتمل التأهيل! مرحباً بك في CAPS.,
Go to CAPS Settings →,اذهب إلى إعدادات CAPS →,
Open Graph Explorer →,افتح مستكشف الرسم البياني →,
Configure Policies →,تهيئة السياسات →,
View Audit Log →,عرض سجل التدقيق →,
Configure Role Maps →,تهيئة خرائط الأدوار →,
Configure Field Maps →,تهيئة خرائط الحقول →,
Open Audit Report →,فتح تقرير التدقيق →,
View Snapshots →,عرض اللقطات →,
🖥️ IT Manager,🖥️ مدير تقنية المعلومات,
🔐 InfoSec Manager,🔐 مدير أمن المعلومات,
🏢 ERPNext Admin,🏢 مدير ERPNext,
📋 Auditor,📋 مدقق,
Cannot impersonate yourself,لا يمكنك انتحال شخصيتك,
Delegation is disabled in CAPS Settings,التفويض معطّل في إعدادات CAPS,
A reason is required for delegation,سبب التفويض مطلوب,
Cannot delegate a capability to yourself,لا يمكنك تفويض صلاحية لنفسك,
Capability is required when Grant Type is 'Capability',الصلاحية مطلوبة عندما يكون نوع المنح 'صلاحية',
Bundle is required when Grant Type is 'Bundle',الحزمة مطلوبة عندما يكون نوع المنح 'حزمة',
Ends On must be after Starts On,تاريخ الانتهاء يجب أن يكون بعد تاريخ البداية,
Target Role is required when Target Type is 'Role',الدور المستهدف مطلوب عندما يكون نوع الهدف 'دور',
Target Department is required when Target Type is 'Department',القسم المستهدف مطلوب عندما يكون نوع الهدف 'قسم',
Target Users is required when Target Type is 'User List',المستخدمون المستهدفون مطلوبون عندما يكون نوع الهدف 'قائمة مستخدمين',
At least one user email is required in Target Users,مطلوب بريد إلكتروني واحد على الأقل في المستخدمين المستهدفين,
User Cache TTL must be at least 10 seconds.,مدة التخزين المؤقت للمستخدم يجب أن تكون 10 ثوانٍ على الأقل.,
Audit Log Retention must be at least 1 day.,مدة الاحتفاظ بسجل التدقيق يجب أن تكون يوماً واحداً على الأقل.,
Guest users cannot submit capability requests,لا يمكن للمستخدمين الضيوف تقديم طلبات صلاحيات,
At least one usage limit must be set (non-zero).,يجب تعيين حد استخدام واحد على الأقل (غير صفري).,
Total Capabilities,إجمالي الصلاحيات,
Total Bundles,إجمالي الحزم,
Users with Capabilities,المستخدمون ذوو الصلاحيات,
Audit Logs (24h),سجلات التدقيق (24 ساعة),
Pending Requests,طلبات قيد الانتظار,
Active Policies,سياسات فعّالة,
Permission Groups,مجموعات الأذونات,
Capability Policies,سياسات الصلاحيات,
Capability Requests,طلبات الصلاحيات,
Integration Packs,حزم التكامل,
Site Profiles,ملفات تعريف المواقع,
CAPS Graph Explorer,مستكشف رسم CAPS البياني,
Compare User Capabilities,مقارنة صلاحيات المستخدمين,
CAPS Administration,إدارة CAPS,
Dashboard & Pages,لوحة القيادة والصفحات,
Capability Graph,رسم الصلاحيات البياني,
Capability Management,إدارة الصلاحيات,
Assignment & Groups,التعيين والمجموعات,
Field & Action Restrictions,قيود الحقول والإجراءات,
Policies & Requests,السياسات والطلبات,
Snapshots & Profiles,اللقطات والملفات التعريفية,
Rate Limiting,تحديد المعدل,
Audit & Settings,التدقيق والإعدادات,
Reports,التقارير,
Pages & Tools,الصفحات والأدوات,
CAPS — Capability-Based Access Permission System,CAPS — نظام أذونات الوصول القائم على الصلاحيات,
Yes,نعم,
No,لا,
Delegatable,قابل للتفويض,
inherits,يرث,
hard prerequisite,متطلب مسبق صارم,
soft prerequisite,متطلب مسبق مرن,
Template,قالب,
mandatory,إلزامي,
optional,اختياري,
Type,النوع,
Total,الإجمالي,
Unique,فريد,
Zone,المنطقة,
grouped into,مجمّع في,
grants,يمنح,
members,أعضاء,
auto-grants,منح تلقائي,
restricts,يقيّد,
Direct Users,مستخدمون مباشرون,
Group Users,مستخدمو المجموعات,
Total Coverage,التغطية الكلية,
Circular parent group reference detected.,تم اكتشاف مرجع دوري في المجموعة الأصل.,
Scene Dashboard,لوحة المشاهد,
KPI Overview,نظرة عامة على مؤشرات الأداء,
Recent Audit Logs,سجلات التدقيق الأخيرة,
CAPS Help,مساعدة CAPS,
Loading dashboard...,جاري تحميل اللوحة...,
Visual Graph Explorer,مستكشف الرسم البياني المرئي,
Permission Groups Overview,نظرة عامة على مجموعات الأذونات,
Capability Distribution,توزيع الصلاحيات,
Quick Actions,إجراءات سريعة,
Add Capability,إضافة صلاحية,
New Permission Group,مجموعة أذونات جديدة,
View Graph Explorer,عرض مستكشف الرسم البياني,
Generate Snapshot,إنشاء لقطة,
Recent Activity,النشاط الأخير,
Policy Applied,تم تطبيق السياسة,
Request Approved,تمت الموافقة على الطلب,
Capability Expired,انتهت صلاحية الصلاحية,
No data available,لا توجد بيانات متاحة,
Refresh Data,تحديث البيانات,
Export Report,تصدير التقرير,
Filter by Date,تصفية حسب التاريخ,
Filter by User,تصفية حسب المستخدم,
Filter by Capability,تصفية حسب الصلاحية,
Clear Filters,مسح الفلاتر,
Apply Filters,تطبيق الفلاتر,
Date Range,نطاق التاريخ,
From Date,من تاريخ,
To Date,إلى تاريخ,
Select All,تحديد الكل,
Deselect All,إلغاء تحديد الكل,
Bulk Actions,إجراءات جماعية,
Delete Selected,حذف المحدد,
Export Selected,تصدير المحدد,
Grant Selected,منح المحدد,
Revoke Selected,سحب المحدد,
Confirmation Required,مطلوب تأكيد,
Are you sure?,هل أنت متأكد؟,
This action cannot be undone.,لا يمكن التراجع عن هذا الإجراء.,
Confirm,تأكيد,
Cancel,إلغاء,
Processing...,جاري المعالجة...,
Operation completed successfully,اكتملت العملية بنجاح,
Operation failed,فشلت العملية,
Please try again,يرجى المحاولة مرة أخرى,
Session expired,انتهت الجلسة,
Please log in again,يرجى تسجيل الدخول مرة أخرى,
Permission denied,تم رفض الإذن,
You do not have access to this feature,ليس لديك صلاحية الوصول لهذه الميزة,
Contact your administrator,تواصل مع المدير,
Capability vs Role Comparison,مقارنة الصلاحيات مقابل الأدوار,
Traditional Roles,الأدوار التقليدية,
CAPS Capabilities,صلاحيات CAPS,
More granular control,تحكم أكثر دقة,
Field-level restrictions,قيود على مستوى الحقل,
Time-boxed access,وصول محدود زمنياً,
Audit trail,مسار التدقيق,
Policy automation,أتمتة السياسات,
